"website","url","title","description","location","company","experience","worktype","industry","function","publish_date","insert_date"
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnico-comercial-at-fresmak-soluciones-de-amarre-2547882477,Técnico comercial,"Fresmak busca incorporar en su equipo de I+D+i, una persona  con actitud innovadora e iniciativa con conocimientos de ingeniería mecánica y experiencia en fabricación por mecanizado para desarrollar la parte técnico-comercial de un proyecto innovador y disruptivo. Familiarizada con proyectos de I+D+i, su tarea tendrá como base buscar, filtrar, contactar y visitar clientes potenciales claves interesados en testar y confirmar la validez del producto en desarrollo.","Zarauz, País Vasco / Euskadi, España",FRESMAK | Soluciones de Amarre,,Jornada completa,,,2021-05-18 12:50:23,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/secretario-jur%C3%ADdico-at-confidencial-2548555685,Secretario jurídico,"Despacho ubicado en Madrid busca para su departamento mercantil, una secretaria/recepcionista. Entre las funciones a realizar está la atención telefónica y reuniones, apoyo a los abogados, control y gestión de la documentación de cada expediente, ayuda en la preparación de cartas/propuesta y control de gestiones a realizar.Se solicita alto nivel de inglés y conocimientos avanzados de ofimática (paquete office 365). Se valorará experiencia en despacho o asesoría jurídica y manejo de plataformas de gestión documental.Es imprescindible que sea una persona organizada, proactiva y rigurosa en la realización del trabajo. Se exige buena presencia.Jornada completa de 11:00h a 20:00 (con una hora de descanso a mediodía).Incorporación inmediata","Madrid, Comunidad de Madrid, España",Confidencial,,Jornada completa,,,2021-05-18 12:49:31,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/contable-multicliente-ingles-alto-real-estate-inmobiliario-at-intertrust-group-2548558302,Contable Multicliente ingles alto (Real Estate/Inmobiliario),"Buscamos un Junior Contable con Inglés alto para trabajar en una de las líneas de negocio de nuestra empresa en la que los clientes son mayoritariamente Fondos, Inmobiliario/Real EstateFunciones:Contabilidades, reporting, preparación y emisión de facturas de diversas sociedadesConciliaciones bancarias, preparación y presentación de las liquidaciones de impuestos y del SII, preparación y revisión de cuentas anuales.2 años de experiencia en puesto similar y en empresa multicliente preferiblementeSe requiere nivel Alto de inglés",Madrid y alrededores,Intertrust Group,Algo de responsabilidad,Jornada completa,Servicios financieros,Contabilidad/Auditorías,2021-05-18 12:48:40,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnico-de-mantenimiento-at-jamones-el-ferial-s-l-2555019388,Técnico de mantenimiento,"Se precisa técnico de mantenimiento para llevar a cabo tareas de mantenimiento correctivo y preventivo en nuestros equipos e instalaciones. Se requiere conocimientos y experiencia: en sistemas de refrigeración, electricidad, electrónica, mecánica e informática a nivel de usuario..","Cedrillas, Aragón, España","Jamones El Ferial, S.L.",,Jornada completa,,,2021-05-18 12:48:49,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/solution-architect-ms-dynamics-at-lti-larsen-toubro-infotech-2548558286,Solution Architect-MS Dynamics,"The ideal candidate will be responsible for working cross-functionally to understand architecture needs by multiple business units. To be effective in this position, you must feel comfortable owning the entire architecture development process from inception to completion. Job Description § Overall 14+ years' experience directly managing software implementation projects Certified MS Dynamics 365 Professional§ 10+ years' experience in design, development, customization, Implementation, Integration and administration of MS Dynamics 365 solutions Deep expertise in sales and service management. § Minimum of 5 full lifecycle D365 CRM implementations (Analysis -    Deployment)§ Should be able to propose scalable technical solutions while ensuring    required guidance to the customer in the digital transformation programs.§ Ability to extend solution leveraging Microsoft Automate, PowerApps(Canvas,   MDA) and PowerBI reports§ Strong customer relationship skills and experience§ Work with the sales and support teams to scope proposed system changes   and new uses with an understanding of costs and benefits § Must have excellent Program/project Management with time management   and organizational skills, written and verbal communication skills, work well in   teams, and instill customer confidence. § Expertise in extending Microsoft CRM functionality via building custom add-  ons, controls, plug ins, integration and rich xRM applications development.§ Also having done projects on premise/ cloud, support, upgrade and /  Migrations§ Project Scheduling, Monitoring, Risk analysis and mitigation • Responsible for   all SDLC activities, code review, mentoring team, resource planning§ Experience/awareness of integration with CRM adapters Kingsway soft/Scribe§ Ability to establish priorities and work independently.§ Involved in presales, RFP response preparation with technical solutions. § Awareness of Worked on C#, Visual Studio, SQL Server, PowerApps Studio,  PowerBI Desktop and Azure Analysis Services. ",España,LTI - Larsen & Toubro Infotech,Director,Jornada completa,"Software,Servicios y tecnologías de la información ,Servicio de información","Consultoría,Tecnología de la información,Gestión",2021-05-18 12:48:56,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/community-manager-en-pr%C3%A1cticas-at-spainity-2555021842,Community Manager en prácticas,"Descripción de empleoEn Spainity buscamos un/a COMMUNITY MANAGER en prácticas. Un estudiante con conocimientos de gestión profesional de RRSS y con muchas ganas de aprender sobre el sector ecommerce y el mundo start-up, pero sobre todo, con ganas de formar parte de un equipo jóven y dinámico.Otros detalles:- Imprescindible convenio de prácticas.- Prácticas Curriculares o Extracurriculares sin bolsa económica.- Duración: de Junio a Octubre.- Horas: 20h / semana. Horario Flexible a pactar con la empresa.- Oferta disponible a partir de 2º de carrera.","Valencia/València, Comunidad Valenciana / Comunitat Valenciana, España",Spainity,,Prácticas,,,2021-05-18 12:48:07,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/solidity-developer-at-tx-tomorrow-explored-2548556544,Solidity Developer,"The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code. ResponsibilitiesDevelop quality software and web applications Analyze and maintain existing software applications Design highly scalable, testable code Discover and fix programming bugsQualificationsBachelor's degree or equivalent experience in Computer Science or related field Development experience with programming languages SQL database or relational database skills","Barcelona, Cataluña, España",TX - Tomorrow Explored,,Jornada completa,,,2021-05-18 12:45:18,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/dise%C3%B1ador-gr%C3%A1fico-at-investfy-now-2541750149,Diseñador gráfico,"En InvestfyNow estamos en la búsqueda de un Diseñador/a Gráfico con disponibilidad para trabajar 4 horas diarias en nuestra plantilla.Buscamos una persona dinámica, con 100% disponibilidad para trabajar sobre la marcha y con muchísimas ganas.","Jávea/Xàbia, Comunidad Valenciana / Comunitat Valenciana, España",INVESTFY NOW,,Media jornada,,,2021-05-18 12:44:24,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/ingeniero-t%C3%A9cnico-at-sotec-luis-crovetto-s-a-2549852188,Ingeniero técnico,"Buscamos incorporar un nuevo compañero a nuestro Departamento Técnico de Granada, Perfil de Ingeniero Técnico o similar.¿Eres tú? Manda tu CV a info@sotec.org¿Conoces a alguien que le pueda interesar? Comparte y menciona en esta publicación.",Granada y alrededores,SOTEC LUIS CROVETTO S.A.,,Jornada completa,,,2021-05-19 06:23:55,2021-05-19 07:00:00
linkedin,https://es.linkedin.com/jobs/view/consultor-a-de-sap-mm-at-minsait-2555027040,Consultor/a  de SAP MM,"Bienvenidos a la revolución tecnológica más humana.Minsait es una empresa líder en consultoría de transformación digital y Tecnologías de la Información en España y Latinoamérica. Minsait presenta propuestas de valor de alto impacto, basadas en soluciones end-to-end, con una notable segmentación, lo que le permite alcanzar impactos tangibles para sus clientes en cada industria bajo un enfoque transformacional.Éste es el reto:Buscamos una persona experta en SAP FI que se integre en nuestro equipo de SAP y que piense en proyectos innovadores. En tu día entre otras cosas llevarás acabo:Implantaciones o roll outFormarás parte de un equipo internacional.¿Qué esperamos por tu parte?Experiencia en SAP FIAlto nivel de inglés.Formando parte de Minsait, pondrás a prueba el futuro. Minsait es el lugar donde lo esencial es el núcleo, y nuestro núcleo son las personas. Personas que impulsan el futuro, que abren nuevos caminos y que cambian las reglas del juego. Porque en Minsait, quien deja huella hoy y mañana, eres tú.¿Qué te ofrecemos?Incorporarte a una compañía Top Employer con más de 45.000 profesionales y con acceso a proyectos retadores para clientes líderes en sus sectores de actividad con presencia internacionalPlan de carrera innovador y formación continua en distintos ámbitos adaptada a tus necesidades para ayudar al desarrollo orientado al crecimiento y desarrollo profesionalConciliación entre la vida personal y profesional, con opción de flexibilidad horaria y posibilidad de acogerte a nuestros programas de teletrabajo y/o EasyWorking.  Retribución competitiva y acceso a planes de retribución flexible.Programa de bienestar con acceso a una red de gimnasios por un precio especial, servicio de telemedicina en línea gratuita, y otras ventajas como aplicaciones para hacer tu declaración de la renta más fácil.Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, diversidad funcional, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social","Madrid, Comunidad de Madrid, España",Minsait,Director,Jornada completa,Servicios y tecnologías de la información ,"Consultoría,Finanzas,Tecnología de la información",2021-05-18 12:44:32,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/project-manager-de-proyectos-de-edificaci%C3%B3n-e-instalaciones-cobertura-maternidad-at-barcelona-de-serveis-municipals-s-a-2548554841,Project Manager de Proyectos de Edificación e Instalaciones - Cobertura maternidad,"En dependencia directa de los Jefes de Unidad de Proyectos de Servicios Técnicos, será responsable de coordinar, gestionar y seguir la consecución de proyectos constructivos, con el fin de dar cumplimiento económico, temporal y de calidad, que se establezcan los mismos.Los proyectos gestionados deberán realizarse con una visión de eficiencia, eficacia, innovación tecnológica y visión enfocada a la mejora de la ciudadanía.Se trata de una posición temporal, para realizar una cobertura por maternidad.Estos proyectos se realizarán de aquellas infraestructuras gestionadas por BSM, PATSA, CBSA o de otros encargos específicos que realice el Ayuntamiento de Barcelona, directamente a BSM.FuncionesRealizará estudios de viabilidad de los proyectos en base a los requerimientos de los clientes internos de las diferentes Divisiones de BSM o de las peticiones solicitadas desde la Dirección General.Realizará el seguimiento y control económico, temporal y de calidad, de los proyectos, así como el cumplimiento de los requerimientos y necesidades del cliente, dentro de la planificación económica prevista por la empresa.En caso de haber desviaciones económicas o temporales, analizará y realizará propuestas para reconducirlas.Realizará el seguimiento de los proyectos siguiendo los protocolos internos de BSM y de Servicios Técnicos, así como con las herramientas y recursos que le sean facilitados por la empresa.Velará para que los diferentes agentes externos (Proyectista, Auditor, Director de obra, Oficina Técnica, ... entre otros) cumplan con sus contratos.Velará por que la documentación referente a los proyectos, sea correcta, coherente, completa y archive de forma adecuada.Velará por que los proyectos se realicen siguiendo la normativa y la legislación vigente.Velará para obtener la aprobación de los proyectos siguiendo los protocolos establecidos y aprobados tanto internos como externos (Ayuntamiento).Gestionará las licencias y trámites necesarios para la obtención de los diferentes permisos (licencia de obras, permiso de vertido, acometidas, etc.) para las obras y actuaciones diversas inherentes a los Proyectos.Reportará y comunicará en tiempo y forma del avance de la cartera de proyectos que gestione, a su superiores.Atender a peticiones técnicas requeridas por otros departamentos de BSM o del Ayuntamiento de Barcelona en temas de su competencia.Requerimentos imprescindiblesIngeniero Técnico o Superior, Arquitecto técnico o Superior.Master en Project Management o especialización en la carreraConocimientos informáticos de Autocad, Revit, TCQ, Office 365 (Word, Excel, Microsoft project, Power point), Adobe Acrobat,Dominio del Catalán y Castellano. Conocimientos básicos de ángulos.Mínimo de 5 años como Project Manager en gestión de proyectos constructivos tanto en fase de proyecto como en fase de obra.Haber trabajado con o para la administración pública, en temas de gestión de proyectos y obras.","Barcelona, Cataluña, España","Barcelona de Serveis Municipals, S.A.",Algo de responsabilidad,Temporal,"Arquitectura y planificación,Construcción,Ingeniería industrial o mecánica","Ingeniería,Gestión,Gestión de proyectos",2021-05-18 12:42:39,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/consultor-a-de-sap-sd-at-minsait-2555021610,Consultor/a  de SAP SD,"Bienvenidos a la revolución tecnológica más humana.Minsait es una empresa líder en consultoría de transformación digital y Tecnologías de la Información en España y Latinoamérica. Minsait presenta propuestas de valor de alto impacto, basadas en soluciones end-to-end, con una notable segmentación, lo que le permite alcanzar impactos tangibles para sus clientes en cada industria bajo un enfoque transformacional.Éste es el reto:Buscamos una persona experta en SAP FI que se integre en nuestro equipo de SAP y que piense en proyectos innovadores. En tu día entre otras cosas llevarás acabo:Implantaciones o roll outFormarás parte de un equipo internacional.¿Qué esperamos por tu parte?Experiencia en SAP FIAlto nivel de inglés.Formando parte de Minsait, pondrás a prueba el futuro. Minsait es el lugar donde lo esencial es el núcleo, y nuestro núcleo son las personas. Personas que impulsan el futuro, que abren nuevos caminos y que cambian las reglas del juego. Porque en Minsait, quien deja huella hoy y mañana, eres tú.¿Qué te ofrecemos?Incorporarte a una compañía Top Employer con más de 45.000 profesionales y con acceso a proyectos retadores para clientes líderes en sus sectores de actividad con presencia internacionalPlan de carrera innovador y formación continua en distintos ámbitos adaptada a tus necesidades para ayudar al desarrollo orientado al crecimiento y desarrollo profesionalConciliación entre la vida personal y profesional, con opción de flexibilidad horaria y posibilidad de acogerte a nuestros programas de teletrabajo y/o EasyWorking.  Retribución competitiva y acceso a planes de retribución flexible.Programa de bienestar con acceso a una red de gimnasios por un precio especial, servicio de telemedicina en línea gratuita, y otras ventajas como aplicaciones para hacer tu declaración de la renta más fácil.Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, diversidad funcional, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social","Madrid, Comunidad de Madrid, España",Minsait,Director,Jornada completa,Servicios y tecnologías de la información ,"Consultoría,Finanzas,Tecnología de la información",2021-05-18 12:42:50,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/comercial-cosm%C3%A9tica-venta-por-cat%C3%A1logo-y-online-campa%C3%B1a-verano-urgente-at-multinacional-belleza-2555020526,Comercial Cosmética. Venta por Catálogo y Online. Campaña Verano. Urgente,"Company DescriptionEmpresa relacionada con el Sector Cosmetica y BellezaVenta, Asesoramiento.Trabajamos con ONLINE, CON CATALOGO Y A COMISIÓN.Posibilidad de crear tu Negocio con nosotros.Cursillos de formación.NO HAY SUELDO FIJO!!Deja tu cv y te informamos!! Job Description: Precisamos personas que sean apasionadas con la belleza y las redes sociales y les guste compartir trucos de belleza y productos de su tienda online.Te facilitamos tu tienda online para que vendas desde casa a todo el mundo que conozcas y ell@s mism@s reciban su pedido .También puedes vender presencialmente a tu entorno etcTú eliges cómo hacerloHazte asesora de belleza con nuestros cursos y aprende a trabajar onlinePor cada venta que hagas ganas de un 20% aa un 40% sin salir de tu casa Seriedad y Compromiso.Interés en la venta directa.Habilidades comerciales.Abstenerse personas que busquen sueldo fijo.No tienda fisica ni Stand. Seriedad y Compromiso.Formaciones gratuitasTienda online gratisOrientación al cliente.Bonos, premios, regalos, viajes, coche...al conseguir objetivosNO ES TIENDA FÍSICA, NI STAND!!!","Huesca, Aragón, España",Multinacional Belleza,Sin experiencia,Jornada completa,"Cosmética,Recursos humanos,Venta al por menor","Ventas,Desarrollo empresarial",2021-05-18 12:38:00,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/comercial-cosm%C3%A9tica-venta-por-cat%C3%A1logo-y-online-campa%C3%B1a-verano-urgente-at-multinacional-belleza-2555016958,Comercial Cosmética. Venta por Catálogo y Online. Campaña Verano. Urgente,"Company DescriptionEmpresa relacionada con el Sector Cosmetica y BellezaVenta, Asesoramiento.Trabajamos con ONLINE, CON CATALOGO Y A COMISIÓN.Posibilidad de crear tu Negocio con nosotros.Cursillos de formación.NO HAY SUELDO FIJO!!Deja tu cv y te informamos!! Job Description: Precisamos personas que sean apasionadas con la belleza y las redes sociales y les guste compartir trucos de belleza y productos de su tienda online.Te facilitamos tu tienda online para que vendas desde casa a todo el mundo que conozcas y ell@s mism@s reciban su pedido .También puedes vender presencialmente a tu entorno etcTú eliges cómo hacerloHazte asesora de belleza con nuestros cursos y aprende a trabajar onlinePor cada venta que hagas ganas de un 20% aa un 40% sin salir de tu casa Seriedad y Compromiso.Interés en la venta directa.Habilidades comerciales.Abstenerse personas que busquen sueldo fijo.No tienda fisica ni Stand. Seriedad y Compromiso.Formaciones gratuitasTienda online gratisOrientación al cliente.Bonos, premios, regalos, viajes, coche...al conseguir objetivosNO ES TIENDA FÍSICA, NI STAND!!!","Melilla, Ciudad Autónoma de Melilla, España",Multinacional Belleza,Sin experiencia,Jornada completa,"Cosmética,Recursos humanos,Venta al por menor","Ventas,Desarrollo empresarial",2021-05-18 12:37:07,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/comercial-cosm%C3%A9tica-venta-por-cat%C3%A1logo-y-online-campa%C3%B1a-verano-urgente-at-multinacional-belleza-2555018702,Comercial Cosmética. Venta por Catálogo y Online. Campaña Verano. Urgente,"Company DescriptionEmpresa relacionada con el Sector Cosmetica y BellezaVenta, Asesoramiento.Trabajamos con ONLINE, CON CATALOGO Y A COMISIÓN.Posibilidad de crear tu Negocio con nosotros.Cursillos de formación.NO HAY SUELDO FIJO!!Deja tu cv y te informamos!! Job Description: Precisamos personas que sean apasionadas con la belleza y las redes sociales y les guste compartir trucos de belleza y productos de su tienda online.Te facilitamos tu tienda online para que vendas desde casa a todo el mundo que conozcas y ell@s mism@s reciban su pedido .También puedes vender presencialmente a tu entorno etcTú eliges cómo hacerloHazte asesora de belleza con nuestros cursos y aprende a trabajar onlinePor cada venta que hagas ganas de un 20% aa un 40% sin salir de tu casa Seriedad y Compromiso.Interés en la venta directa.Habilidades comerciales.Abstenerse personas que busquen sueldo fijo.No tienda fisica ni Stand. Seriedad y Compromiso.Formaciones gratuitasTienda online gratisOrientación al cliente.Bonos, premios, regalos, viajes, coche...al conseguir objetivosNO ES TIENDA FÍSICA, NI STAND!!!","Madrid, Comunidad de Madrid, España",Multinacional Belleza,Sin experiencia,Jornada completa,"Cosmética,Recursos humanos,Venta al por menor","Ventas,Desarrollo empresarial",2021-05-18 12:37:18,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/comercial-cosm%C3%A9tica-venta-por-cat%C3%A1logo-y-online-campa%C3%B1a-verano-urgente-at-multinacional-belleza-2555017774,Comercial Cosmética. Venta por Catálogo y Online. Campaña Verano. Urgente,"Company DescriptionEmpresa relacionada con el Sector Cosmetica y BellezaVenta, Asesoramiento.Trabajamos con ONLINE, CON CATALOGO Y A COMISIÓN.Posibilidad de crear tu Negocio con nosotros.Cursillos de formación.NO HAY SUELDO FIJO!!Deja tu cv y te informamos!! Job Description: Precisamos personas que sean apasionadas con la belleza y las redes sociales y les guste compartir trucos de belleza y productos de su tienda online.Te facilitamos tu tienda online para que vendas desde casa a todo el mundo que conozcas y ell@s mism@s reciban su pedido .También puedes vender presencialmente a tu entorno etcTú eliges cómo hacerloHazte asesora de belleza con nuestros cursos y aprende a trabajar onlinePor cada venta que hagas ganas de un 20% aa un 40% sin salir de tu casa Seriedad y Compromiso.Interés en la venta directa.Habilidades comerciales.Abstenerse personas que busquen sueldo fijo.No tienda fisica ni Stand. Seriedad y Compromiso.Formaciones gratuitasTienda online gratisOrientación al cliente.Bonos, premios, regalos, viajes, coche...al conseguir objetivosNO ES TIENDA FÍSICA, NI STAND!!!","Álava, País Vasco / Euskadi, España",Multinacional Belleza,Sin experiencia,Jornada completa,"Cosmética,Recursos humanos,Venta al por menor","Ventas,Desarrollo empresarial",2021-05-18 12:37:24,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/conductores-at-empresa-de-transporte-2555019694,Conductores,"Company DescriptionJob Description: Somos empresa y estamos creciendo, nos dedicamos al transporte internacional y queremos contratar conductores para hacer rutas España-Europa. Si tienes un permiso C+E y CAP y te gusta la seriedad, inscríbete a nuestra oferta, tenemos buenas condiciones salariales y de trabajo. Permisos en regla y experiencia internacional.Importante ADR.","Tarragona, Cataluña, España",empresa de transporte,Algo de responsabilidad,Jornada completa,"Dotación y selección de personal,Recursos humanos,Transporte por carretera o ferrocarril","Diseño,Arte/Creatividad,Tecnología de la información",2021-05-18 12:37:34,2021-05-18 13:00:00
linkedin,https://es.linkedin.com/jobs/view/ingeniero-a-de-ciberseguridad-junior-at-multinacional-de-consultoria-2548564610,Ingeniero/a de Ciberseguridad Junior,"Somos una multinacional de consultoría especializada en ingeniería, y actualmente estamos buscando incorporar un/a ingeniero/a de Ciberseguridad Junior para un proyecto en una importante empresa del  sector Aeronáutico y Defensa en Madrid.Buscamos una persona para involucrarse en nuestra línea de hardening de sistemas, para lo que se requiere:Conocimientos de administración y de configuración de entornos Windows (Directorio Activo, GPO, etc.). Conocimientos de PowershellConocimientos de scripting o lenguajes de programación (python, bash...)Conocimientos generales de administración y configuración de entornos virtualizados (VMWare, VSphere, ESXi, etc.)Conocimientos generales de desarrollo de guías de configuración seguraTe ofrecemos:- Proyecto estable.- Banda salarial competitiva.- Formación y paquete retributivo.","Madrid, Comunidad de Madrid, España",MULTINACIONAL DE CONSULTORIA,Algo de responsabilidad,Jornada completa,Aeronáutica/Aviación,Ingeniería,2021-05-18 14:00:28,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/distribuidores-at-ibericos-del-guroviejo-sl-2541758250,Distribuidores ,"dinámico, capacidad de venta, varorable cartera de  clientes. ","Sevilla, Andalucía, España",IBERICOS DEL GUROVIEJO SL,,Jornada completa,,,2021-05-18 14:00:36,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/director-a-financiero-a-at-michael-page-2541754491,Director/a Financiero/a,"Interesante proyecto en dirección financiera.Proyecto para formar parte de consejo de direcciónDetalles del clienteGrupo Inmobiliario - PromotorDescripción de la oferta* Coordinación de la elaboración de los Estados Contables y Financieros, siendoa este respecto especialmente importante.* Supervisión del Control de Gestión: definición de procedimientos, diseño de losprocesos presupuestarios…* Gestión de las variables financieras: gestión de Tesorería, Credit Management, Gestiónde Cobros, gestión de i con bancos.* Optimización de la política fiscal de la empresa.* Supervisión de la relación con terceros: Auditores externos, Administraciones …* Estudios de informes de viabilidad de inversiones / proyectos, reorientacionesestratégicas…* Selección, formación y desarrollo de sus equipos.* Gestión de los recursos humanos.* Optimización de los sistemas de gestión.* Diseño de las políticas de desarrollo de la compañía.* Supervisión de la política fiscal.* Coordinación de los servicios generales Perfil del candidatoImprescindible experiencia previa mínimo 5 años, en puestos similares en mercado inmobiliario-promotor.Formación superior en finanzas. Oferta de empleoOportunidades de carrera y desarrollo profesional","Barcelona, Cataluña, España",Michael Page,Director,Jornada completa,Bienes inmobiliarios comerciales,Contabilidad/Auditorías,2021-05-18 13:59:42,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnico-en-rr-hh-at-grupo-glem-2555061816,Técnico en RR.HH.,"Precisamos incorporar una persona al Departamento de RR.HH. de GRUPO GLEM. FUNCIONESLas funciones a realizar son: Diseñar los procesos de selección y acogida de personal Desarrollar evaluaciones de personal y políticas de retención del talentoAdministración de personal y relaciones laborales Diseño y desarrollo de planes de formación Imprescindible tener conocimientos informáticos para aprender a gestionar los diferentes programas informáticos internos de gestiónPersona ordenada, versátil, con habilidades y competencias polivalentes. CONDICIONESDisponibilidad inmediataImplicación y ganas de trabajar Residencia preferiblemente en Villena o alrededores Jornada: 40 horas semanales (de Lunes a Viernes de 9:00 a 14:00 horas y de 16:00 a 19:00 horas)Salario según convenioExperiencia mínima en el puesto de 3 años","Villena, Comunidad Valenciana / Comunitat Valenciana, España",Grupo Glem,,Jornada completa,,,2021-05-18 13:58:51,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/comercial-ingeniero-tecnico-h-m-at-isprox-2548564600,COMERCIAL ( INGENIERO TECNICO) H/M,"ISPROX somos una Consultora de Recursos Humanos especializada en la captación de Talento para organizaciones empresariales. Tenemos el objetivo de seleccionar talento para las compañías que mejor cuiden el capital humano y tengan en el centro de sus políticas a las personas. ISPROX tenemos presencia en todo el territorio nacional, para estar cerca de nuestros clientes y candidatos.FuncionesDesde Isprox estamos en búsqueda de un Ingenier@ Técnico comercial para empresa de distribución de material frigorífico-Responsable cartera de clientes- Ampliación cartera clientes y mantenimiento de la existente- Generar actividad comercial- Visitas clientes- Atención al cliente- NegociaciónRequisitos- Experiencia 3 años en en empresa de suministros industriales y/ o climatización- Ingeniero técnico con experiencia demostrable- Conocimientos técnicos de instalaciones- Conocimientos de climatización y frio industrial- Dotes y habilidades comerciales- Buen comunicador/a- Experiencia en ventasSe ofreceIncorporación inmediata a empresaProyección personalContratación indefinidaRetribución según valía","Zaragoza, Aragón, España",ISPROX,Intermedio,Jornada completa,Recursos humanos,Ingeniería,2021-05-18 13:58:57,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/pr%C3%A1cticas-%E2%80%93-disney-channel-contenidos-y-programaci%C3%B3n-at-disney-channel-2541754470,"Prácticas – Disney Channel, Contenidos y Programación","Job Summary:Buscamos a uno/a becario/a para nuestro Departamento de Contenidos y Programación en Madrid (España) – ofrecemos un contrato en prácticas de 1 año*.ResponsibilitiesProporcionar soporte al equipo de Programación de Disney Channel España en la planificación de contenidos cross platform, con las siguientes funciones:Mantenimiento de los documentos de los rollouts episódicos de las series de Disney Channel, detallando la información necesaria para su correcta emisión.Envío semanal de información de la actualidad del entorno audiovisual, mercado televisivo y parrillas de la competencia.Ejecución de las parrillas de SVOD según planes de programación.Mantenimiento de la base de datos de contenidos (metadata e inventario de short form) tanto para entorno lineal como no lineal (Youtube, DC App).Preferred Qualifications:Licenciatura Comunicación Audiovisual, Imagen y sonido.Ser una persona constante, ordenada, y capaz de gestionar hojas con inventarios de contenidos y abrir incidencia en caso necesario.Ser una persona activa y con capacidad para generar documentos guía de forma ordenada. Se utilizará paquete Office.Conocimiento alto de español, inglés y Excel. Portugués valorado positivamente.Ofrecemos un contrato en prácticas* de 1 año.Requisitos: Este contrato podrá concertarse con quienes estuvieren en posesión de título universitario o de formación profesional de grado medio o superior o títulos oficialmente reconocidos como equivalentes, de acuerdo con las leyes reguladoras del sistema educativo vigente, o de certificado de profesionalidad, de acuerdo con lo previsto en la Ley Orgánica 5/2002, de 19 de junio, de las Cualificaciones y de la Formación Profesional, que habiliten para el ejercicio profesional.Que no hayan transcurrido más de cinco años, o de siete cuando el contrato se concierte con un trabajador con discapacidad, desde la terminación de los estudios.Additional Information:The Walt Disney Company is an Equal Opportunity Employer. We strive to be a diverse workforce that is representative of our audiences, and where all can thrive and belong. We are committed to building a team that includes and respects a variety of voices, identities, backgrounds, experiences and perspectives.792461BR","Madrid, Comunidad de Madrid, España",Disney Channel,Intermedio,Media jornada,"Medios de difusión,Entretenimiento,Producción multimedia","Producción,Redacción y revisión,Ingeniería",2021-05-18 13:59:06,2021-05-18 14:00:00
linkedin,https://es.linkedin.com/jobs/view/administrativa-o-contable-at-warak-consulting-s-l-u-2555061893,ADMINISTRATIVA/O - CONTABLE ,"Funciones:Seguimiento de la rentabilidad por cliente y proyectoGestionar la cartera de clientesContabilización de facturas de proveedoresConciliación de cuentas a pagarContabilizar pagos y conciliacionesDar soporte administrativo al departamento Perfil:Estudios mínimos: CFGS Administración y finanzas o Licenciatura en EmpresarialesConocimiento del Plan General contableImprescindible nivel alto de inglés para envío de mails y atención telefónicaSe valorarán conocimientos de Francés.Nivel alto en conocimientos de MS Office en general y dominio de ExcelSe valorará especialmente conocimiento de Software utilizado para la contabilidad: NEXUS A3 ERPExperiencia mínima en puesto similar: 3 añosBuscamos incorporar al equipo una persona proactiva, flexible y con facilidad para relacionarse tanto con clientes como proveedores. Horario: Jornada laboral  de 9h a 18h ","Sant Feliu de Codines, Cataluña, España","Warak Consulting, s.l.u.",,Jornada completa,,,2021-05-18 13:58:16,2021-05-18 14:00:00
