titulo;provincia;fecha_publicacion;descripcion;provinciaalternativa;fuentecontenido;idlocalidad;localidad;latitud;longitud;codigo_localidad;identificador;actualizacionmetadatos;enlace_al_contenido;posicion
OPERADORES DE MÁQUINAS PARA ELABORAR CAFÉ Y/O SUCEDÁNEOS;León;2023-10-24;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320833'>Oficina Virtual</a></p>;;ECYL;1179297770767;Bañeza (La);42.2972527905;-5.89591028588;24;1285326273886;2023-10-24;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285326273886/Empleo;42.29725278956081, -5.89591028588
3 Técnicos/as de Administración General para Ayto. de Soria;Soria;2023-10-23;"<p><strong>Convoca:</strong> Ayuntamiento de Soria</p>
<p><strong>Cuerpo:</strong> TÉCNICO/A DE ADMINISTRACIÓN GENERAL</p>
<p><strong>Plazas: </strong>3 y bolsa de empleo</p>
<p><strong>Acceso:</strong> Oposición</p>
<p><strong>Titulación:</strong> Licenciatura, Grado universitario o equivalente</p>
<p><strong>Plazo: </strong>20 de noviembre de 2023</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Soria 29/09/23; BOCYL 05/10/2023; BOE 20/10/2023</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://bocyl.jcyl.es/boletines/2023/10/05/pdf/BOCYL-D-05102023-20.pdf' target='_blank'>Consulte Bases en BOCYL 05/10/2023</a></li></ul></p>";;Organismo oficial;1179469197687;Soria;41.76443;-2.463772;42;1285325899183;2023-10-23;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325899183/Empleo;41.7644299990626, -2.463772
CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O DEPENDENCIA, EN INSTITUCIONES;Burgos;2023-10-20;<p>SE PRECISA CUIDADOR DE PERSONAS CON DEPENDENCIA/ASISTENTE DOMICILIARIO EN PERAL DE ARLANZA (BURGOS). HORARIO DE 9:30 A 11:30 HORAS, DE LUNES A VIERNES. POSIBILIDAD DE HORAS COMPLEMENTARIAS. CONTRATO LABORAL DE DURACIÓN INDEFINIDA. LABORES DE ATENCION DIRECTA A PERSONAS RECEPTORAS DE APOYO EN SU ENTORNO (ASEO, VESTIDO, ALIMENTACION...) SALARIO DE 280euros EN 14 PAGAS.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320778'>Oficina Virtual</a></p>;;ECYL;1179297580588;Peral de Arlanza;42.07737;-4.076821;09;1285325574416;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325574416/Empleo;42.07736999906151, -4.076821
CONDUCTORES DE CAMIÓN, EN GENERAL;Segovia;2023-10-20;<p>CON CAP EN VIGOR .CARNÉ C1</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=318878'>Oficina Virtual</a></p>;;ECYL;1179298563848;Segovia;40.94356;-4.1130023;40;1285325492168;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325492168/Empleo;40.94355999906599, -4.1130023
Chófer tráiler;Valladolid;2023-10-20;"<p>Necesitamos <strong>chófer tráiler</strong> ruta zona Valladolid, experiencia en basculantes, imprescindible C+E.<br />
Interesados llamar al teléfono<strong> 676473294</strong></p>
<p>Información procedente de: <strong>'El Norte de Castilla'</strong></p>";;Internet / Prensa;;;;;;1285325442510;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325442510/Empleo;
ELECTROMECÁNICOS DE MANTENIMIENTO INDUSTRIAL (MANTENIMIENTO Y REPARACIÓN GENERAL);León;2023-10-20;"<p>SE NECESITAN ELECTROMECÁNICOS DE MANTENIMIENTO INDUSTRIAL, OFICIAL DE 1ª, PARA EMPRESA DE MONTAJES EN CAMPONARAYA (BIERZO)
OFERTA Nº 19809
IMPRESCINDIBLE:
CARNÉ DE CONDUCIR -B1- Y CONOCIMIENTOS DE FORMACIÓN PROFESIONAL ELECTRICIDAD, AUTOMATISMOS, DESARROYO DE PLANOS ELÉCTRICOS, HIDRÁULICA, NEUMÁTICA, ETC.
CONTACTAR O.E DE PONFERRADA, TELF: 987 410859 EXT-2</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320727'>Oficina Virtual</a></p>";;ECYL;1179297796730;Camponaraya;42.5795903406;-6.67168577469;24;1285325415302;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325415302/Empleo;42.579590339659994, -6.671685774690001
PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL;Palencia;2023-10-20;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320726'>Oficina Virtual</a></p>;;ECYL;1179298106756;Perales;42.194;-4.5808215;34;1285325384901;2023-10-20;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325384901/Empleo;42.19399999906114, -4.5808215
TÉCNICOS EN ELECTRICIDAD, EN GENERAL;Zamora;2023-10-19;"<p>Se necesita: Electricista para Toro (Zamora)
Especializado en fotovoltaica. 
Se ofrece: Contrato indefinido a jornada completa
Otros: Permiso de conducir.
Interesados enviar CV a ecyltoro@jcyl.es
Poner en asunto: 19790 Electricista.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320708'>Oficina Virtual</a></p>";;ECYL;1179469472195;Toro;41.52475;-5.394138;49;1285325201498;2023-10-19;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325201498/Empleo;41.5247499990635, -5.394138
EMPLEADOS DE HOGAR (INTERNOS);Burgos;2023-10-19;"<p>PUESTO SOLICITADO: Empleada de hogar (interna).
LOCALIDAD: Burgos.
REQUISITOS: Experiencia en cuidado, atención, administración de medicamentos, preparación de comidas, limpieza de la casa, etc.
SE OFRECE: Contrato indefinido a jornada completa.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320689'>Oficina Virtual</a></p>";;ECYL;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285325065111;2023-10-19;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285325065111/Empleo;42.340823556560686, -3.702058690830001
Farmacéutico y técnico de farmacia para Segovia;Segovia;2023-10-18;"<p><em>Daniel Sanz de Pablos</em> selecciona <strong>FARMACÉUTICO Y TÉCNICO DE FARMACIA</strong> para Segovia.</p>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Título universitario.</li>
<li>Para Técnico de farmacia: título de Bachillerato.</li>
<li>Dotes comerciales.</li>
<li>Experiencia en puestos similares.</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato indefinido.</li>
<li>Jornada completa.</li>
<li>Horario: rotativo. 1 fin de semana de cada 4.</li>
<li>Salario: 30.000 - 36.000euros bruto/año.</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para poder presentar su candidatura, debe estar inscrito en el portal de empleo que publica la oferta.</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.infojobs.net/' target='_blank'>https://www.infojobs.net/</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.infojobs.net/segovia/se-requiere-farmaceutico-tecnico-farmacia/of-i6a4ad063a7470eab13b0ac7e24d7d9' target='_blank'>Más información e inscripción a la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/Ym9UYkdzc2JRZlNVRkhHUFYrS2dicUVrZ3RVWDh1ZzRNQ0d5clo5UWZCUT0%3D/EMPLEO-INTERNET-PRENSA/100161' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179298563848;Segovia;40.94356;-4.1130023;40;1285324822848;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324822848/Empleo;40.94355999906599, -4.1130023
Técnico/a de nóminas para León;León;2023-10-18;"<p><em>Adecco</em> selecciona un/a <strong>ADMINISTRATIVO/A DE NÓMINAS</strong> para trabajar en importante empresa de León.</p>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Imprescindible formación y experiencia en la realización de nóminas</li>
<li>Manejo alto del A3 nóminas</li>
<li>Disponibilidad de incorporación inmediata</li>
<li>Capacidad para trabajar con autonomía, así como capacidad de adaptación</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contratación temporal con posibilidades reales de pasar a plantilla</li>
<li>Jornada completa</li>
<li>Horario de lunes a viernes</li>
<li>Salario 8euros - 10euros bruto/hora</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para poder presentar su candidatura, debe estar inscrito en el portal de empleo que publica la oferta</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.iberempleos.es' target='_blank'>https://www.iberempleos.es</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.iberempleos.es/oferta-empleo/leon/administrativoa-nominas-a3-leon-7455238' target='_blank'>Más información e inscripción a la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/Ym9UYkdzc2JRZlNVRkhHUFYrS2dicUVrZ3RVWDh1ZzRNQ0d5clo5UWZCUT0%3D/EMPLEO-INTERNET-PRENSA/100255' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179297860755;León;42.59873;-5.5670958;24;1285324822736;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324822736/Empleo;42.59872999905995, -5.5670958
Psiquiatra para Arévalo (Ávila);Ávila;2023-10-18;"<p><em>DomusVi</em> selecciona un/a <strong>PSIQUIATRA</strong> para su centro de salud mental Mentalia ubicado en Arévalo (Ávila).</p>
<p><strong>Funciones:</strong></p>
<ul>
<li>Realización de la valoración psiquiátrica de nuevos usuarios/as: Antecedentes, estado actual y objetivos psiquiátricos a alcanzar</li>
<li>Adaptación del tratamiento farmacológico de psiquiatría. Anotación en curso clínico de GCR, señalando la información relevante que ha de ser tenida en cuenta por parte del/de la farmacéutico/a</li>
<li>Valoración periódica de residentes a través de entrevista y observación y, en todo caso, siempre cuando haya sufrido una crisis o cualquier tipo de incidencia psiquiátrica destacable. Registro en GCR</li>
<li>Autorización de las inmovilizaciones mecánicas de residentes en los casos que por el nivel de agitación que presentan, se haga imprescindible</li>
<li>Explicar a auxiliares y celadores/as las pautas de actuación a seguir con residentes que hayan presentado alguna crisis o incidencia relevante</li>
<li>Información y asesoramiento a las familias y/o cuidadores/as de los residentes, sobre la evolución del estado psicoafectivo, cognitivo y conductual del/de la residente</li>
</ul>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Licenciatura/Grado en Medicina con especialidad en Psiquiatría</li>
<li>Recomendable formación en rehabilitación social de pacientes con enfermedades mentales crónicas</li>
<li>Se valorará positivamente la disponibilidad de cursos de formación relacionados con el área así como formación complementaria en términos de fomento de la igualdad</li>
<li>Aptitudes deseables: integridad y honestidad, orientación al cliente, planificación y organización, trabajo en equipo y dotes comunicativas</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato indefinido</li>
<li>Jornada completa y horario a convenir.</li>
<li>Flexibilidad y compatibilización con las necesidades específicas de la persona seleccionada, tanto en horario como en jornada</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para poder presentar su candidatura, debe estar inscrito en el portal de empleo que publica la oferta.</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.infojobs.net' target='_blank'>https://www.infojobs.net</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.infojobs.net/arevalo/psiquiatra-centro-salud-mental-mentalia-arevalo/of-i1a22756eac42ba8354f19dc952ff45?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE' target='_blank'>Más información e inscripción a la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/Ym9UYkdzc2JRZlNVRkhHUFYrS2dicUVrZ3RVWDh1ZzRNQ0d5clo5UWZCUT0%3D/EMPLEO-INTERNET-PRENSA/100175' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179297191660;Arévalo;41.0660421103;-4.71934952088;05;1285324822680;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324822680/Empleo;41.06604210936543, -4.71934952088
Médico/a de urgencias para Salamanca;Salamanca;2023-10-18;"<p><em>El Hospital General de la Santísima Trinidad</em> necesita incorporar un/a <strong>MÉDICO/A</strong> para su servicio de urgencias en Salamanca.</p>
<p><strong>Funciones:</strong></p>
<ul>
<li>Atención asistencial a pacientes que acudan al servicio de urgencias, efectuando una historia clínica, exploración general del paciente y pruebas auxiliares que considere oportunas para emitir un diagnóstico</li>
</ul>
<p><strong>Requisitos:</strong></p>
<ul>
<li>Licenciado en Medicina y Cirugía General y/o homologación</li>
<li>Residencia en España</li>
</ul>
<p><strong>Se ofrece:</strong></p>
<ul>
<li>Contrato indefinido</li>
<li>Jornada completa</li>
<li>Turnos de guardias</li>
</ul>
<p><strong>Para solicitar:</strong></p>
<ul>
<li>En el enlace adjunto se puede acceder a la solicitud para el puesto. <strong>Se recuerda que, para poder presentar su candidatura, debe estar inscrito en el portal de empleo que publica la oferta.</strong></li>
</ul><p><strong>Información obtenida de: </strong>Internet/Prensa. <a href='https://www.infojobs.net' target='_blank'>https://www.infojobs.net</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.infojobs.net/salamanca/medico-urgencias/of-i9ded6d9e304b3f9bd7763cc6767f86?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE' target='_blank'>Más información e inscripción a la oferta</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/Ym9UYkdzc2JRZlNVRkhHUFYrS2dicUVrZ3RVWDh1ZzRNQ0d5clo5UWZCUT0%3D/EMPLEO-INTERNET-PRENSA/100269' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";;Internet / Prensa;1179298323669;Salamanca;40.9650951373;-5.66404069586;37;1285324822461;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324822461/Empleo;40.96509513636588, -5.66404069586
Instalador /Técnico de ascensores (Alemania);Otra;2023-10-18;"B1 de alemán<p/><p><strong>Your tasks:</strong></p>
<ul>
<li>Complete assembly of new installations (elevators of all types / rope and hydraulics)</li>
<li>Modernization (elevators of all types / rope and hydraulics)</li>
<li>Reconstruction (elevators of all types / rope and hydraulics)</li>
<li>Occasionally it is necessary to spend the night out of town. Mostly, however, a return on the same day is guaranteed</li>
</ul>
<p><strong>Your profile:</strong></p>
<ul>
<li>Completed apprenticeship and at least 2 years of work experience as an electrician/fitter/industrial electronics technician/elevator fitter (m/f/d)</li>
<li>Driving license class B is a condition</li>
<li>B1 knowledge of german language is required</li>
</ul>
<p><strong>And this is what we offer you:</strong></p>
<ul>
<li>Collegial and positive working atmosphere</li>
<li>Modern work equipment</li>
<li>Assistance in dealing with authorities</li>
<li>We will help you find an accommodation</li>
<li>Minimum salary 17,00 euros per hour / 38 hours per week</li>
</ul><p><strong>Información obtenida de: </strong>EURES. <a href='http://www.sepe.es/redEURES' target='_blank'>http://www.sepe.es/redEURES</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://servicios3.jcyl.es/enbo/siau/contenido/Q3N1eVp6T2xYbWpKOVJIdm53VTFRbTFCK25kMXNyQnNwNDFYM0wveER1ST0%3D' target='_blank'>Información completa.</a></li></ul></p><p>Información procedente de: <a href='https://servicios3.jcyl.es/enbo/siau/webapp/boletinEmpleoCyL/boletin/Ym9UYkdzc2JRZlNVRkhHUFYrS2dicUVrZ3RVWDh1ZzRNQ0d5clo5UWZCUT0%3D/EMPLEO-EURES/100152' target='_blank'><strong>Boletín de Empleo de Castilla y León (Ecyl)</strong>.</a></p>";Europa;Red EURES;;;;;;1285324821883;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324821883/Empleo;
AUXILIARES DE ENFERMERÍA;Zamora;2023-10-18;<p>Llamar tfno: 980658871</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320608'>Oficina Virtual</a></p>;;ECYL;1179469440768;Santibáñez de Tera;41.985683;-5.926264;49;1285324726655;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324726655/Empleo;41.98568299906182, -5.926264
ENFERMEROS DE CUIDADOS GENERALES;Burgos;2023-10-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=320560'>Oficina Virtual</a></p>;;ECYL;1179297562001;Miranda de Ebro;42.679066;-2.9675572;09;1285324637077;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324637077/Empleo;42.67906599905973, -2.9675572
7 Conductores/as en la Junta de Castilla y León;Otra;2023-10-18;"<p><strong>Convoca:</strong> Junta de Castilla y León. Consejería de la Presidencia<br /><br /><strong>Cuerpo:</strong> CONDUCTOR/A</p>
<p><strong>Plazas:</strong> 7</p>
<p><strong>Acceso:</strong> Concurso-Oposición</p>
<p><strong>Titulación:</strong> Bachiller o equivalente. Consulte Bases<br /><br /><strong>Plazo:</strong> 16 de noviembre de 2023</p>
<p><strong>Observaciones:</strong> Se requiere Permiso de Conducir C+E o D.</p><p><strong>Información obtenida de: </strong>Empleo público. BOCYL 18/10/2023</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://bocyl.jcyl.es/boletines/2023/10/18/pdf/BOCYL-D-18102023-6.pdf' target='_blank'>Consulta las bases en bocyl 18/10/23</a></li></ul></p>";Castilla y León;Organismo oficial;;;;;;1285324633922;2023-10-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285324633922/Empleo;
